log10 N | Total Time | log10 error | standard dev.
5.000000 | 0.016889 | -1.265673 | 0.005830
5.000000 | 0.015592 | -1.928394 | 0.005264
5.000000 | 0.015641 | -1.706217 | 0.006083
5.000000 | 0.015622 | -1.416021 | 0.007122
5.000000 | 0.016461 | -1.607628 | 0.005279
5.000000 | 0.015657 | -1.251819 | 0.005004
5.000000 | 0.016644 | -1.340823 | 0.007585
5.000000 | 0.015613 | -1.584411 | 0.005423
5.000000 | 0.015806 | -2.861841 | 0.006449
5.000000 | 0.015551 | -1.383033 | 0.005895
5.000000 | 0.015553 | -1.702098 | 0.005857
5.000000 | 0.015583 | -1.607931 | 0.006447
5.000000 | 0.016426 | -1.199979 | 0.004984
5.000000 | 0.015855 | -1.773035 | 0.007331
5.000000 | 0.015612 | -1.329527 | 0.007345
5.000000 | 0.015711 | -2.749414 | 0.006245
5.000000 | 0.015636 | -1.722483 | 0.008998
5.000000 | 0.018232 | -2.517321 | 0.006327
5.000000 | 0.018537 | -2.004292 | 0.006542
5.000000 | 0.016990 | -1.340713 | 0.006453
5.000000 | 0.016498 | -1.820740 | 0.008671
5.000000 | 0.015623 | -1.361316 | 0.006139
5.000000 | 0.015989 | -1.912432 | 0.005985
5.000000 | 0.017054 | -1.276659 | 0.006818
5.000000 | 0.015988 | -1.722227 | 0.005820
5.000000 | 0.017357 | -1.712931 | 0.006591
5.000000 | 0.015557 | -1.508114 | 0.005425
5.000000 | 0.016249 | -1.627802 | 0.006420
5.000000 | 0.015593 | -1.789007 | 0.005886
5.000000 | 0.015573 | -1.765500 | 0.005326
5.000000 | 0.015584 | -2.449405 | 0.005436
5.000000 | 0.018231 | -2.083495 | 0.005945
5.000000 | 0.026500 | -1.357439 | 0.007116
5.000000 | 0.022771 | -2.659967 | 0.005722
5.000000 | 0.026791 | -1.576935 | 0.006514
5.000000 | 0.028205 | -2.291293 | 0.005763
5.000000 | 0.053034 | -2.125849 | 0.006394
5.000000 | 0.053102 | -1.461166 | 0.006779
5.000000 | 0.047903 | -1.234677 | 0.005050
5.000000 | 0.049006 | -1.703621 | 0.005302
5.000000 | 0.049959 | -1.162213 | 0.008244
5.000000 | 0.045773 | -4.091659 | 0.005719
5.000000 | 0.016495 | -1.240009 | 0.008184
5.000000 | 0.016021 | -1.832987 | 0.006027
5.000000 | 0.015663 | -1.708347 | 0.007771
5.000000 | 0.016925 | -1.482355 | 0.005620
5.000000 | 0.018762 | -3.894624 | 0.006246
5.000000 | 0.022709 | -1.911081 | 0.006356
5.000000 | 0.019618 | -1.697386 | 0.006645
5.000000 | 0.015625 | -1.400963 | 0.006568
5.000000 | 0.016052 | -2.028414 | 0.006217
5.000000 | 0.016284 | -1.374791 | 0.006514
5.000000 | 0.015990 | -1.794024 | 0.007314
5.000000 | 0.016227 | -1.846708 | 0.006109
5.000000 | 0.015676 | -2.267861 | 0.007622
5.000000 | 0.016067 | -1.667799 | 0.005790
5.000000 | 0.015575 | -1.813038 | 0.006072
5.000000 | 0.016448 | -1.739968 | 0.006058
5.000000 | 0.015728 | -1.142753 | 0.005837
5.000000 | 0.015834 | -1.757797 | 0.005727
5.000000 | 0.015943 | -2.329216 | 0.007196
5.000000 | 0.016235 | -2.144981 | 0.006367
5.000000 | 0.015620 | -2.326571 | 0.009318
5.000000 | 0.017561 | -1.263998 | 0.006612
5.000000 | 0.017150 | -1.568247 | 0.006230
5.000000 | 0.020320 | -1.949142 | 0.006793
5.000000 | 0.018316 | -1.646464 | 0.006179
5.000000 | 0.015606 | -1.706314 | 0.005929
5.000000 | 0.016436 | -0.996293 | 0.004702
5.000000 | 0.015559 | -1.294125 | 0.009039
5.000000 | 0.015629 | -2.481468 | 0.005861
5.000000 | 0.015764 | -1.485945 | 0.005645
5.000000 | 0.017573 | -2.061960 | 0.005708
5.000000 | 0.033481 | -1.399911 | 0.006592
5.000000 | 0.024913 | -1.336185 | 0.005777
5.000000 | 0.023181 | -1.355520 | 0.007417
5.000000 | 0.015857 | -1.673578 | 0.006324
5.000000 | 0.016042 | -1.268967 | 0.006288
5.000000 | 0.015634 | -1.659679 | 0.008061
5.000000 | 0.015602 | -1.174887 | 0.005680
5.000000 | 0.015615 | -1.481300 | 0.006461
5.000000 | 0.016862 | -1.498385 | 0.006605
5.000000 | 0.015833 | -1.886079 | 0.006159
5.000000 | 0.016201 | -1.398165 | 0.007083
5.000000 | 0.015720 | -1.765191 | 0.006599
5.000000 | 0.015746 | -1.795638 | 0.006889
5.000000 | 0.015595 | -2.320903 | 0.007249
5.000000 | 0.016055 | -1.659785 | 0.006033
5.000000 | 0.016810 | -1.258431 | 0.007062
5.000000 | 0.016907 | -2.113874 | 0.006432
5.000000 | 0.026434 | -1.233981 | 0.005606
5.000000 | 0.021585 | -2.887568 | 0.006111
5.000000 | 0.023139 | -1.832406 | 0.005406
5.000000 | 0.026818 | -1.370325 | 0.007884
5.000000 | 0.017960 | -1.188683 | 0.009090
5.000000 | 0.016166 | -1.394505 | 0.005369
5.000000 | 0.015699 | -1.639330 | 0.005514
5.000000 | 0.016137 | -2.328634 | 0.006636
5.000000 | 0.016155 | -1.524414 | 0.006712
5.000000 | 0.015718 | -2.046035 | 0.006022
