log10 N | Total Time | log10 error | standard dev.
8.000000 | 37.405226 | -3.141958 | 0.000108
8.000000 | 47.541781 | -4.430606 | 0.000106
8.000000 | 50.170907 | -2.878765 | 0.000107
8.000000 | 49.319844 | -3.181258 | 0.000106
8.000000 | 46.232155 | -3.801797 | 0.000107
8.000000 | 38.881129 | -3.134819 | 0.000105
8.000000 | 39.192741 | -3.675588 | 0.000105
8.000000 | 39.087784 | -3.670418 | 0.000105
8.000000 | 39.045772 | -3.122224 | 0.000106
8.000000 | 38.170602 | -3.565754 | 0.000108
8.000000 | 38.928292 | -3.911226 | 0.000108
8.000000 | 37.827431 | -3.992827 | 0.000105
8.000000 | 39.659304 | -3.499287 | 0.000106
8.000000 | 38.829208 | -3.690135 | 0.000106
8.000000 | 38.120216 | -3.392188 | 0.000105
8.000000 | 39.306468 | -3.889963 | 0.000108
8.000000 | 37.730997 | nan | -nan
8.000000 | 39.077705 | -3.226161 | 0.000104
8.000000 | 37.765881 | nan | -nan
8.000000 | 38.994370 | nan | -nan
8.000000 | 38.326304 | -3.356584 | 0.000106
8.000000 | 39.237307 | -4.095132 | 0.000104
8.000000 | 38.217604 | -4.077663 | 0.000111
8.000000 | 41.014923 | -3.598662 | 0.000105
8.000000 | 41.166276 | -3.631319 | 0.000106
8.000000 | 40.353851 | -3.045867 | 0.000110
8.000000 | 39.313025 | -3.489996 | 0.000104
8.000000 | 39.287325 | -3.119637 | 0.000106
8.000000 | 40.103630 | -3.885705 | 0.000108
8.000000 | 40.408466 | -3.840850 | 0.000107
8.000000 | 39.572478 | -4.214219 | 0.000106
8.000000 | 37.938551 | -2.922634 | 0.000105
8.000000 | 39.177163 | -3.105871 | 0.000105
8.000000 | 39.194670 | -3.142010 | 0.000111
8.000000 | 37.867876 | -3.520444 | 0.000104
8.000000 | 41.469152 | -3.473690 | 0.000105
8.000000 | 39.574637 | -3.228462 | 0.000105
8.000000 | 37.824403 | -3.327142 | 0.000114
8.000000 | 37.778836 | -3.158863 | 0.000112
8.000000 | 39.091998 | -2.945807 | 0.000107
8.000000 | 37.938286 | -3.221263 | 0.000105
8.000000 | 39.028345 | -3.620693 | 0.000107
8.000000 | 39.230362 | -3.267159 | 0.000106
8.000000 | 38.964972 | -3.251691 | 0.000106
8.000000 | 37.681601 | -3.493123 | 0.000105
8.000000 | 39.734670 | nan | -nan
8.000000 | 37.689513 | -4.013513 | 0.000105
8.000000 | 38.107878 | -3.429183 | 0.000106
8.000000 | 39.329253 | -3.422566 | 0.000106
8.000000 | 38.538938 | -3.325740 | 0.000105
8.000000 | 37.777914 | -3.454830 | 0.000107
8.000000 | 38.544391 | -4.398268 | 0.000107
8.000000 | 38.162907 | -3.596978 | 0.000106
8.000000 | 38.355905 | -3.036642 | 0.000106
8.000000 | 39.284040 | -3.335634 | 0.000105
8.000000 | 38.169189 | -3.038058 | 0.000106
8.000000 | 38.437371 | -3.306290 | 0.000104
8.000000 | 38.349764 | -3.502662 | 0.000106
8.000000 | 38.822324 | -3.565641 | 0.000107
8.000000 | 39.010969 | nan | -nan
8.000000 | 38.155946 | nan | -nan
8.000000 | 39.949831 | -3.598382 | 0.000105
8.000000 | 38.781166 | -5.863147 | 0.000104
8.000000 | 38.217177 | -3.039106 | 0.000104
8.000000 | 38.583589 | -3.107406 | 0.000111
8.000000 | 38.955691 | -4.692466 | 0.000105
8.000000 | 39.268365 | -3.091685 | 0.000105
8.000000 | 37.698206 | -3.421874 | 0.000109
8.000000 | 37.738209 | -3.015412 | 0.000106
8.000000 | 38.431975 | -2.839699 | 0.000120
8.000000 | 39.107138 | nan | -nan
8.000000 | 39.379456 | -2.973257 | 0.000105
8.000000 | 39.109498 | nan | -nan
8.000000 | 39.108684 | -4.046835 | 0.000105
8.000000 | 39.128639 | -3.363155 | 0.000105
8.000000 | 38.476496 | -3.017581 | 0.000106
8.000000 | 39.184922 | -2.990409 | 0.000114
8.000000 | 38.326619 | -3.001204 | 0.000105
8.000000 | 39.241423 | -4.592182 | 0.000104
8.000000 | 38.630536 | -2.982139 | 0.000105
8.000000 | 37.914037 | -2.964350 | 0.000105
8.000000 | 37.881309 | -3.352673 | 0.000105
8.000000 | 38.784831 | -3.194069 | 0.000105
8.000000 | 38.788305 | -4.638160 | 0.000106
8.000000 | 38.019890 | -3.714648 | 0.000105
8.000000 | 38.783827 | -3.414480 | 0.000106
8.000000 | 37.849154 | -3.309534 | 0.000106
8.000000 | 39.104379 | nan | -nan
8.000000 | 37.712576 | -3.006306 | 0.000108
8.000000 | 39.081138 | -3.482396 | 0.000107
8.000000 | 37.683245 | nan | -nan
8.000000 | 38.963457 | -3.088715 | 0.000106
8.000000 | 38.827014 | -3.212986 | 0.000105
8.000000 | 36.697678 | -3.631428 | 0.000106
8.000000 | 35.997686 | -3.126154 | 0.000106
8.000000 | 35.950159 | -3.536121 | 0.000106
8.000000 | 35.883051 | -3.175368 | 0.000105
8.000000 | 35.591302 | -3.220542 | 0.000105
8.000000 | 35.821953 | nan | -nan
8.000000 | 36.245998 | -3.452696 | 0.000106
