log10 N | Total Time | log10 error | standard dev.
4.000000 | 0.002564 | -1.806896 | 0.022503
4.000000 | 0.003067 | -1.389122 | 0.019930
4.000000 | 0.001712 | -0.995909 | 0.013939
4.000000 | 0.003068 | -1.441485 | 0.023701
4.000000 | 0.001854 | -1.053816 | 0.016406
4.000000 | 0.001584 | -1.589920 | 0.019150
4.000000 | 0.001667 | -0.937646 | 0.012751
4.000000 | 0.001604 | -0.792079 | 0.021307
4.000000 | 0.001616 | -0.748490 | 0.013110
4.000000 | 0.001557 | -1.064386 | 0.017752
4.000000 | 0.001545 | -1.512734 | 0.014520
4.000000 | 0.001579 | -1.022199 | 0.015642
4.000000 | 0.001551 | -1.293536 | 0.019951
4.000000 | 0.001579 | -1.308578 | 0.015437
4.000000 | 0.001612 | -0.916935 | 0.022128
4.000000 | 0.003919 | -1.211337 | 0.013611
4.000000 | 0.001582 | -1.425992 | 0.014487
4.000000 | 0.001575 | -1.215529 | 0.017166
4.000000 | 0.001697 | -1.514931 | 0.015831
4.000000 | 0.001563 | -1.598616 | 0.015779
4.000000 | 0.001592 | -0.845191 | 0.015112
4.000000 | 0.001577 | -1.135707 | 0.021016
4.000000 | 0.001529 | -1.097348 | 0.015323
4.000000 | 0.001566 | -0.903425 | 0.014479
4.000000 | 0.001584 | -1.229533 | 0.016285
4.000000 | 0.001542 | -0.806027 | 0.026940
4.000000 | 0.001607 | -1.160147 | 0.022387
4.000000 | 0.001564 | -1.120836 | 0.020134
4.000000 | 0.001550 | -1.256965 | 0.016197
4.000000 | 0.001621 | -1.100298 | 0.020643
4.000000 | 0.001575 | -0.732338 | 0.040483
4.000000 | 0.001812 | -0.573263 | 0.037639
4.000000 | 0.002557 | -0.912398 | 0.013675
4.000000 | 0.002204 | -1.229832 | 0.018079
4.000000 | 0.002476 | -1.156753 | 0.014668
4.000000 | 0.002500 | -1.402984 | 0.016620
4.000000 | 0.004710 | -1.404650 | 0.017086
4.000000 | 0.001826 | -0.864160 | 0.013904
4.000000 | 0.001779 | -1.526867 | 0.017033
4.000000 | 0.001615 | -1.839336 | 0.015370
4.000000 | 0.001632 | -0.904238 | 0.020550
4.000000 | 0.001641 | -0.998882 | 0.017234
4.000000 | 0.001677 | -1.065549 | 0.012499
4.000000 | 0.001600 | -1.065568 | 0.013256
4.000000 | 0.001661 | -1.387222 | 0.013050
4.000000 | 0.002321 | -0.932308 | 0.013836
4.000000 | 0.002648 | -0.911016 | 0.019504
4.000000 | 0.001688 | -1.590797 | 0.016682
4.000000 | 0.001757 | -1.294383 | 0.016069
4.000000 | 0.001587 | -1.223753 | 0.021377
4.000000 | 0.001585 | -0.984384 | 0.014876
4.000000 | 0.001555 | -0.971936 | 0.015228
4.000000 | 0.001640 | -0.879974 | 0.018008
4.000000 | 0.001546 | -1.082114 | 0.013626
4.000000 | 0.001587 | -0.751914 | 0.013967
4.000000 | 0.001642 | -0.745060 | 0.014627
4.000000 | 0.001940 | -1.880767 | 0.017227
4.000000 | 0.001580 | -1.373729 | 0.020492
4.000000 | 0.001573 | -0.824836 | 0.014658
4.000000 | 0.001589 | -1.863547 | 0.014146
4.000000 | 0.001613 | -1.205717 | 0.017642
4.000000 | 0.001568 | -1.273433 | 0.016983
4.000000 | 0.001579 | -0.685440 | 0.036828
4.000000 | 0.001570 | -1.737720 | 0.016436
4.000000 | 0.001570 | -1.029578 | 0.015113
4.000000 | 0.001649 | -0.978413 | 0.027627
4.000000 | 0.001631 | -0.834146 | 0.021517
4.000000 | 0.001666 | -1.334490 | 0.024156
4.000000 | 0.001622 | -1.183608 | 0.035151
4.000000 | 0.001590 | -1.037935 | 0.015930
4.000000 | 0.001620 | -1.163289 | 0.016176
4.000000 | 0.001576 | -0.924801 | 0.021477
4.000000 | 0.001597 | -1.006895 | 0.017668
4.000000 | 0.001663 | -1.508771 | 0.015449
4.000000 | 0.001564 | -1.399874 | 0.016582
4.000000 | 0.001588 | -0.949619 | 0.014424
4.000000 | 0.001685 | -2.264054 | 0.018558
4.000000 | 0.001538 | -1.493665 | 0.018485
4.000000 | 0.001648 | -1.917532 | 0.016933
4.000000 | 0.001545 | -1.052917 | 0.014555
4.000000 | 0.001599 | -1.791094 | 0.018314
4.000000 | 0.001630 | -0.824074 | 0.033502
4.000000 | 0.001539 | -0.912802 | 0.022516
4.000000 | 0.001606 | -1.278273 | 0.021756
4.000000 | 0.001584 | -1.194512 | 0.015104
4.000000 | 0.001573 | -1.146874 | 0.019310
4.000000 | 0.001594 | -0.990043 | 0.016780
4.000000 | 0.001585 | -0.642939 | 0.012934
4.000000 | 0.001576 | -2.649754 | 0.020473
4.000000 | 0.001627 | -1.420979 | 0.015883
4.000000 | 0.001551 | -1.651622 | 0.015909
4.000000 | 0.001569 | -1.422109 | 0.018739
4.000000 | 0.001579 | -1.047465 | 0.013879
4.000000 | 0.001638 | -1.852537 | 0.017339
4.000000 | 0.001533 | -1.097118 | 0.017195
4.000000 | 0.001863 | -0.814938 | 0.011769
4.000000 | 0.001590 | -0.957528 | 0.035640
4.000000 | 0.001576 | -0.739499 | 0.012466
4.000000 | 0.001577 | -0.895536 | 0.013145
4.000000 | 0.001630 | -1.483036 | 0.018560
