log10 N | Total Time | log10 error | standard dev.
6.000000 | 0.416510 | -2.134368 | 0.001031
6.000000 | 0.407883 | -3.555950 | 0.001037
6.000000 | 0.403610 | -1.988234 | 0.001050
6.000000 | 0.902489 | -2.839094 | 0.001024
6.000000 | 0.577664 | -3.288022 | 0.001075
6.000000 | 0.373042 | -2.359343 | 0.001024
6.000000 | 0.463482 | -2.777817 | 0.001012
6.000000 | 0.451650 | -2.249442 | 0.001012
6.000000 | 0.376190 | -2.915980 | 0.001032
6.000000 | 0.371807 | -2.646163 | 0.001106
6.000000 | 0.359701 | -3.217227 | 0.000994
6.000000 | 0.359914 | -2.268452 | 0.001069
6.000000 | 0.370651 | -2.013951 | 0.001220
6.000000 | 0.363835 | -2.117135 | 0.001186
6.000000 | 0.359740 | -2.928274 | 0.001156
6.000000 | 0.365428 | -3.016930 | 0.001041
6.000000 | 0.371677 | -2.285953 | 0.001044
6.000000 | 0.369013 | -2.389321 | 0.001053
6.000000 | 0.369629 | -2.624782 | 0.000982
6.000000 | 0.380771 | -2.161734 | 0.000992
6.000000 | 0.643453 | -2.629481 | 0.001002
6.000000 | 0.388999 | -2.488493 | 0.000984
6.000000 | 0.394077 | -2.184797 | 0.001058
6.000000 | 0.366016 | -2.452135 | 0.001106
6.000000 | 0.439110 | -3.131478 | 0.000989
6.000000 | 0.667180 | -2.363053 | 0.001005
6.000000 | 0.388696 | -2.632612 | 0.001018
6.000000 | 0.395573 | -2.914176 | 0.001053
6.000000 | 0.375530 | -2.294738 | 0.001082
6.000000 | 0.362429 | -2.085137 | 0.001009
6.000000 | 0.383734 | -2.470018 | 0.001078
6.000000 | 0.376051 | -2.274257 | 0.001006
6.000000 | 0.370308 | -2.247041 | 0.001027
6.000000 | 0.385113 | -2.256359 | 0.001023
6.000000 | 0.395203 | -2.117633 | 0.001073
6.000000 | 0.381025 | -2.547966 | 0.001031
6.000000 | 0.381342 | -3.079696 | 0.001050
6.000000 | 0.391841 | -2.750079 | 0.000988
6.000000 | 0.395704 | -1.886358 | 0.001159
6.000000 | 0.510954 | -3.459755 | 0.001088
6.000000 | 0.672274 | -2.289816 | 0.001021
6.000000 | 1.111102 | -2.006733 | 0.001305
6.000000 | 0.401675 | -3.791421 | 0.001109
6.000000 | 0.538112 | -2.488681 | 0.001014
6.000000 | 0.381885 | -2.276479 | 0.001005
6.000000 | 0.361169 | -2.556059 | 0.001039
6.000000 | 0.364850 | -2.184304 | 0.001083
6.000000 | 0.363874 | -2.856141 | 0.001048
6.000000 | 0.367707 | -2.310017 | 0.001012
6.000000 | 0.364414 | -2.674640 | 0.001088
6.000000 | 0.371451 | -2.857799 | 0.000996
6.000000 | 0.361786 | -2.509351 | 0.000984
6.000000 | 0.365557 | -2.488738 | 0.001013
6.000000 | 0.362071 | -2.280740 | 0.001098
6.000000 | 0.365139 | -2.291045 | 0.001066
6.000000 | 0.361541 | -3.162047 | 0.001060
6.000000 | 0.362271 | -2.583558 | 0.001021
6.000000 | 0.360248 | -2.543430 | 0.001087
6.000000 | 0.351562 | -2.943149 | 0.000998
6.000000 | 0.350718 | -2.026931 | 0.001123
6.000000 | 0.348775 | -2.037002 | 0.001061
6.000000 | 0.352030 | -2.103572 | 0.001021
6.000000 | 0.350903 | -2.287619 | 0.001021
6.000000 | 0.349169 | -2.391218 | 0.001060
6.000000 | 0.374899 | -3.195956 | 0.001135
6.000000 | 0.398637 | -2.328250 | 0.000984
6.000000 | 0.362004 | -2.960125 | 0.001015
6.000000 | 0.361176 | -2.449088 | 0.001048
6.000000 | 0.409627 | -2.110362 | 0.001006
6.000000 | 0.364156 | -2.823268 | 0.001016
6.000000 | 0.362193 | -2.575013 | 0.000987
6.000000 | 0.362914 | -2.602916 | 0.001037
6.000000 | 0.353020 | -2.239814 | 0.001051
6.000000 | 0.350304 | -2.456949 | 0.001012
6.000000 | 0.348936 | -2.949003 | 0.001070
6.000000 | 0.360944 | -2.980464 | 0.001026
6.000000 | 0.361897 | -2.606351 | 0.001073
6.000000 | 0.374917 | -3.423218 | 0.001020
6.000000 | 0.362954 | -2.876485 | 0.001068
6.000000 | 0.361904 | -2.736673 | 0.001100
6.000000 | 0.362542 | -3.157012 | 0.001021
6.000000 | 0.365363 | -2.125921 | 0.001035
6.000000 | 0.364142 | -2.951382 | 0.001039
6.000000 | 0.368425 | -1.872018 | 0.000985
6.000000 | 0.364559 | -3.343316 | 0.001012
6.000000 | 0.362959 | -2.573173 | 0.001118
6.000000 | 0.365881 | -3.045703 | 0.001079
6.000000 | 0.361175 | -2.740413 | 0.001122
6.000000 | 0.359854 | -2.202569 | 0.001017
6.000000 | 0.360429 | -2.443639 | 0.001028
6.000000 | 0.359236 | -2.288007 | 0.001171
6.000000 | 0.359393 | -2.156755 | 0.001011
6.000000 | 0.359746 | -2.253563 | 0.001033
6.000000 | 0.359562 | -2.237006 | 0.001007
6.000000 | 0.361245 | -2.211860 | 0.001034
6.000000 | 0.361788 | -2.356031 | 0.001036
6.000000 | 0.359942 | -2.900345 | 0.001019
6.000000 | 0.360058 | -2.033043 | 0.001017
6.000000 | 0.359265 | -3.379728 | 0.001041
6.000000 | 0.360120 | -2.506780 | 0.001025
